part,instrument,measure,pitch,step,alter,octave,duration,type,dotted,rest
P1,Recorder,1,,,,,12,,False,True
P1,Recorder,2,,,,,12,,False,True
P1,Recorder,3,,,,,12,,False,True
P1,Recorder,4,,,,,12,,False,True
P1,Recorder,5,,,,,4,quarter,False,True
P1,Recorder,5,,,,,4,quarter,False,True
P1,Recorder,5,A,A,,5,4,quarter,False,False
P1,Recorder,6,Bb,B,-1,5,6,quarter,True,False
P1,Recorder,6,A,A,,5,2,eighth,False,False
P1,Recorder,6,G,G,,5,1,16th,False,False
P1,Recorder,6,Bb,B,-1,5,1,16th,False,False
P1,Recorder,6,A,A,,5,2,eighth,False,False
P1,Recorder,7,F,F,,5,4,quarter,False,False
P1,Recorder,7,E,E,,5,2,eighth,False,False
P1,Recorder,7,D,D,,5,2,eighth,False,False
P1,Recorder,7,A,A,,5,4,quarter,False,False
P1,Recorder,8,B,B,,5,6,quarter,True,False
P1,Recorder,8,C,C,,6,1,16th,False,False
P1,Recorder,8,D,D,,6,1,16th,False,False
P1,Recorder,8,C,C,,6,1,16th,False,False
P1,Recorder,8,B,B,,5,1,16th,False,False
P1,Recorder,8,C,C,,6,2,eighth,False,False
P1,Recorder,9,G#,G,1,5,4,quarter,False,False
P1,Recorder,9,F#,F,1,5,2,eighth,False,False
P1,Recorder,9,E,E,,5,2,eighth,False,False
P1,Recorder,9,C,C,,6,4,quarter,False,False
P1,Recorder,10,C,C,,6,2,eighth,False,False
P1,Recorder,10,B,B,,5,2,eighth,False,False
P1,Recorder,10,,,,,4,quarter,False,True
P1,Recorder,10,B,B,,5,2,eighth,False,False
P1,Recorder,10,C,C,,6,1,16th,False,False
P1,Recorder,10,D,D,,6,1,16th,False,False
P1,Recorder,11,B,B,,5,2,eighth,False,False
P1,Recorder,11,A,A,,5,2,eighth,False,False
P1,Recorder,11,,,,,4,quarter,False,True
P1,Recorder,11,A,A,,5,4,quarter,False,False
P1,Recorder,12,A,A,,5,2,eighth,False,False
P1,Recorder,12,G#,G,1,5,2,eighth,False,False
P1,Recorder,12,,,,,4,quarter,False,True
P1,Recorder,12,G#,G,1,5,4,quarter,False,False
P1,Recorder,13,G#,G,1,5,2,eighth,False,False
P1,Recorder,13,A,A,,5,2,eighth,False,False
P1,Recorder,13,,,,,4,quarter,False,True
P1,Recorder,13,A,A,,5,4,quarter,False,False
P1,Recorder,14,A,A,,5,6,quarter,True,False
P1,Recorder,14,B,B,,5,2,eighth,False,False
P1,Recorder,14,E,E,,5,1,16th,False,False
P1,Recorder,14,A,A,,5,1,16th,False,False
P1,Recorder,14,G#,G,1,5,2,eighth,False,False
P1,Recorder,15,A,A,,5,4,quarter,False,False
P1,Recorder,15,,,,,4,quarter,False,True
P1,Recorder,15,C,C,,6,4,quarter,False,False
P1,Recorder,16,C,C,,6,2,eighth,False,False
P1,Recorder,16,Bb,B,-1,5,2,eighth,False,False
P1,Recorder,16,,,,,4,quarter,False,True
P1,Recorder,16,Bb,B,-1,5,2,eighth,False,False
P1,Recorder,16,C,C,,6,1,16th,False,False
P1,Recorder,16,D,D,,6,1,16th,False,False
P1,Recorder,17,Bb,B,-1,5,2,eighth,False,False
P1,Recorder,17,A,A,,5,2,eighth,False,False
P1,Recorder,17,,,,,4,quarter,False,True
P1,Recorder,17,A,A,,5,4,quarter,False,False
P1,Recorder,18,A,A,,5,2,eighth,False,False
P1,Recorder,18,G,G,,5,2,eighth,False,False
P1,Recorder,18,,,,,4,quarter,False,True
P1,Recorder,18,G,G,,5,2,eighth,False,False
P1,Recorder,18,A,A,,5,1,16th,False,False
P1,Recorder,18,Bb,B,-1,5,1,16th,False,False
P1,Recorder,19,G,G,,5,2,eighth,False,False
P1,Recorder,19,F,F,,5,2,eighth,False,False
P1,Recorder,19,,,,,4,quarter,False,True
P1,Recorder,19,C,C,,6,4,quarter,False,False
P1,Recorder,20,D,D,,6,6,quarter,True,False
P1,Recorder,20,E,E,,6,1,16th,False,False
P1,Recorder,20,F,F,,6,1,16th,False,False
P1,Recorder,20,E,E,,6,1,16th,False,False
P1,Recorder,20,G,G,,6,1,16th,False,False
P1,Recorder,20,F,F,,6,2,eighth,False,False
P1,Recorder,21,F,F,,6,4,quarter,False,False
P1,Recorder,21,E,E,,6,2,eighth,False,False
P1,Recorder,21,D,D,,6,2,eighth,False,False
P1,Recorder,21,C,C,,6,2,eighth,False,False
P1,Recorder,21,B,B,,5,2,eighth,False,False
P1,Recorder,22,G,G,,6,4,quarter,False,False
P1,Recorder,22,F,F,,6,2,eighth,False,False
P1,Recorder,22,E,E,,6,2,eighth,False,False
P1,Recorder,22,D,D,,6,2,eighth,False,False
P1,Recorder,22,C,C,,6,2,eighth,False,False
P1,Recorder,23,C,C,,6,4,quarter,False,False
P1,Recorder,23,,,,,4,quarter,False,True
P1,Recorder,23,,,,,4,quarter,False,True
P1,Recorder,24,,,,,12,,False,True
P1,Recorder,25,,,,,4,quarter,False,True
P1,Recorder,25,,,,,4,quarter,False,True
P1,Recorder,25,D,D,,6,4,quarter,False,False
P1,Recorder,26,Eb,E,-1,6,6,quarter,True,False
P1,Recorder,26,D,D,,6,2,eighth,False,False
P1,Recorder,26,C,C,,6,1,16th,False,False
P1,Recorder,26,Eb,E,-1,6,1,16th,False,False
P1,Recorder,26,D,D,,6,2,eighth,False,False
P1,Recorder,27,C,C,,6,,16th,False,False
P1,Recorder,27,Bb,B,-1,5,2,eighth,False,False
P1,Recorder,27,D,D,,6,1,16th,False,False
P1,Recorder,27,C#,C,1,6,1,16th,False,False
P1,Recorder,27,D,D,,6,2,eighth,False,False
P1,Recorder,27,F,F,,6,1,16th,False,False
P1,Recorder,27,E,E,,6,1,16th,False,False
P1,Recorder,27,F,F,,6,4,quarter,False,False
P1,Recorder,28,F,F,,6,2,eighth,False,False
P1,Recorder,28,E,E,,6,2,eighth,False,False
P1,Recorder,28,,,,,4,quarter,False,True
P1,Recorder,28,E,E,,6,2,eighth,False,False
P1,Recorder,28,F,F,,6,1,16th,False,False
P1,Recorder,28,G,G,,6,1,16th,False,False
P1,Recorder,29,E,E,,6,2,eighth,False,False
P1,Recorder,29,D,D,,6,2,eighth,False,False
P1,Recorder,29,,,,,4,quarter,False,True
P1,Recorder,29,,,,,4,quarter,False,True
P1,Recorder,30,,,,,12,,False,True
P1,Recorder,31,,,,,4,quarter,False,True
P1,Recorder,31,,,,,4,quarter,False,True
P1,Recorder,31,F,F,,6,4,quarter,False,False
P1,Recorder,32,G,G,,6,6,quarter,True,False
