part,instrument,measure,pitch,step,alter,octave,duration,type,dotted,rest
P1,Trumpet             ,1,F,F,,4,4,eighth,False,False
P1,Trumpet             ,2,A,A,,4,4,eighth,False,False
P1,Trumpet             ,2,C,C,,5,4,eighth,False,False
P1,Trumpet             ,2,A,A,,4,4,eighth,False,False
P1,Trumpet             ,2,F,F,,4,4,eighth,False,False
P1,Trumpet             ,2,A,A,,4,4,eighth,False,False
P1,Trumpet             ,2,C,C,,5,4,eighth,False,False
P1,Trumpet             ,2,F,F,,5,4,eighth,False,False
P1,Trumpet             ,2,C,C,,5,4,eighth,False,False
P1,Trumpet             ,3,A,A,,4,4,eighth,False,False
P1,Trumpet             ,3,C,C,,5,4,eighth,False,False
P1,Trumpet             ,3,A,A,,4,4,eighth,False,False
P1,Trumpet             ,3,F,F,,4,4,eighth,False,False
P1,Trumpet             ,3,A,A,,4,4,eighth,False,False
P1,Trumpet             ,3,C,C,,5,4,eighth,False,False
P1,Trumpet             ,3,F,F,,5,2,16th,False,False
P1,Trumpet             ,3,G,G,,5,2,16th,False,False
P1,Trumpet             ,3,A,A,,5,2,16th,False,False
P1,Trumpet             ,3,Bb,B,-1,5,2,16th,False,False
P1,Trumpet             ,4,C,C,,6,4,eighth,False,False
P1,Trumpet             ,4,C,C,,6,4,eighth,False,False
P1,Trumpet             ,4,C,C,,6,4,eighth,False,False
P1,Trumpet             ,4,C,C,,6,4,eighth,False,False
P1,Trumpet             ,4,C,C,,6,16,half,False,False
P1,Trumpet             ,5,C,C,,6,24,half,True,False
P1,Trumpet             ,5,,,,,4,eighth,False,True
P1,Trumpet             ,5,F,F,,5,4,eighth,False,False
P1,Trumpet             ,6,F,F,,5,4,eighth,False,False
P1,Trumpet             ,6,C,C,,5,4,eighth,False,False
P1,Trumpet             ,6,C,C,,5,4,eighth,False,False
P1,Trumpet             ,6,A,A,,4,4,eighth,False,False
P1,Trumpet             ,6,A,A,,4,4,eighth,False,False
P1,Trumpet             ,6,F,F,,4,4,eighth,False,False
P1,Trumpet             ,6,F,F,,4,4,eighth,False,False
P1,Trumpet             ,6,F,F,,5,4,eighth,False,False
P1,Trumpet             ,7,F,F,,5,4,eighth,False,False
P1,Trumpet             ,7,C,C,,5,4,eighth,False,False
P1,Trumpet             ,7,C,C,,5,4,eighth,False,False
P1,Trumpet             ,7,A,A,,4,4,eighth,False,False
P1,Trumpet             ,7,A,A,,4,4,eighth,False,False
P1,Trumpet             ,7,F,F,,4,4,eighth,False,False
P1,Trumpet             ,7,F,F,,4,4,eighth,False,False
P1,Trumpet             ,7,C,C,,5,2,16th,False,False
P1,Trumpet             ,7,C,C,,5,2,16th,False,False
P1,Trumpet             ,8,C,C,,5,8,quarter,False,False
P1,Trumpet             ,8,,,,,4,eighth,False,True
P1,Trumpet             ,8,C,C,,5,2,16th,False,False
P1,Trumpet             ,8,C,C,,5,2,16th,False,False
P1,Trumpet             ,8,C,C,,5,8,quarter,False,False
P1,Trumpet             ,8,,,,,4,eighth,False,True
P1,Trumpet             ,8,C,C,,5,2,16th,False,False
P1,Trumpet             ,8,C,C,,5,2,16th,False,False
P1,Trumpet             ,9,C,C,,5,4,eighth,False,False
P1,Trumpet             ,9,F,F,,5,2,16th,False,False
P1,Trumpet             ,9,C,C,,5,2,16th,False,False
P1,Trumpet             ,9,A,A,,4,2,16th,False,False
P1,Trumpet             ,9,F,F,,4,2,16th,False,False
P1,Trumpet             ,9,C,C,,5,4,eighth,False,False
P1,Trumpet             ,9,A,A,,4,8,quarter,False,False
P1,Trumpet             ,9,,,,,8,quarter,False,True
P1,Trumpet             ,10,,,,,32,,False,True
P1,Trumpet             ,11,,,,,16,half,False,True
P1,Trumpet             ,11,,,,,8,quarter,False,True
P1,Trumpet             ,11,,,,,4,eighth,False,True
P1,Trumpet             ,11,F,F,,4,4,eighth,False,False
P1,Trumpet             ,12,A,A,,4,4,eighth,False,False
P1,Trumpet             ,12,C,C,,5,4,eighth,False,False
P1,Trumpet             ,12,A,A,,4,4,eighth,False,False
P1,Trumpet             ,12,F,F,,4,4,eighth,False,False
P1,Trumpet             ,12,A,A,,4,4,eighth,False,False
P1,Trumpet             ,12,C,C,,5,4,eighth,False,False
P1,Trumpet             ,12,F,F,,5,4,eighth,False,False
P1,Trumpet             ,12,C,C,,5,4,eighth,False,False
P1,Trumpet             ,13,A,A,,4,4,eighth,False,False
P1,Trumpet             ,13,C,C,,5,4,eighth,False,False
P1,Trumpet             ,13,A,A,,4,4,eighth,False,False
P1,Trumpet             ,13,F,F,,4,4,eighth,False,False
P1,Trumpet             ,13,A,A,,4,4,eighth,False,False
P1,Trumpet             ,13,C,C,,5,4,eighth,False,False
P1,Trumpet             ,13,F,F,,5,8,quarter,False,False
P1,Trumpet             ,14,,,,,32,,False,True
P1,Trumpet             ,15,,,,,16,half,False,True
P1,Trumpet             ,15,,,,,8,quarter,False,True
P1,Trumpet             ,15,,,,,4,eighth,False,True
P1,Trumpet             ,15,C,C,,5,4,eighth,False,False
P1,Trumpet             ,16,C,C,,6,2,16th,False,False
P1,Trumpet             ,16,D,D,,6,2,16th,False,False
P1,Trumpet             ,16,E,E,,6,2,16th,False,False
P1,Trumpet             ,16,D,D,,6,2,16th,False,False
P1,Trumpet             ,16,C,C,,6,2,16th,False,False
P1,Trumpet             ,16,D,D,,6,2,16th,False,False
P1,Trumpet             ,16,E,E,,6,2,16th,False,False
P1,Trumpet             ,16,D,D,,6,2,16th,False,False
P1,Trumpet             ,16,C,C,,6,2,16th,False,False
P1,Trumpet             ,16,B,B,,5,2,16th,False,False
P1,Trumpet             ,16,C,C,,6,2,16th,False,False
P1,Trumpet             ,16,D,D,,6,2,16th,False,False
P1,Trumpet             ,16,E,E,,6,2,16th,False,False
P1,Trumpet             ,16,F,F,,6,2,16th,False,False
P1,Trumpet             ,16,E,E,,6,2,16th,False,False
P1,Trumpet             ,16,D,D,,6,2,16th,False,False
P1,Trumpet             ,17,C,C,,6,2,16th,False,False
P1,Trumpet             ,17,D,D,,6,2,16th,False,False
P1,Trumpet             ,17,E,E,,6,2,16th,False,False
P1,Trumpet             ,17,D,D,,6,2,16th,False,False
P1,Trumpet             ,17,C,C,,6,2,16th,False,False
P1,Trumpet             ,17,D,D,,6,2,16th,False,False
P1,Trumpet             ,17,E,E,,6,2,16th,False,False
P1,Trumpet             ,17,D,D,,6,2,16th,False,False
