work_id,instrument_name
52,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
53,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
54,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
55,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
56,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
57,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
58,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
59,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
60,"piccolo,flute,flute,oboe,oboe,English horn, clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,strings"
61,"piccolo,flute,flute,oboe,oboe,English horn, clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,strings"
62,"piccolo,flute,flute,oboe,oboe,English horn, clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,strings"
63,"piccolo,flute,flute,oboe,oboe,English horn, clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,strings"
64,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,cymbals,triangle,strings"
65,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,cymbals,triangle,strings"
66,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,cymbals,triangle,strings"
67,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,cymbals,triangle,strings"
68,piano
69,piano
70,piano
71,piano
72,piano
73,piano
74,piano
75,piano
76,piano
77,piano
78,piano
79,piano
80,piano
81,piano
82,piano
83,piano
84,piano
85,piano
86,piano
87,piano
88,piano
89,"trumpet,flute,oboe,violin,viola,cello"
90,"flute,oboe,violin,cello"
91,"trumpet,flute,oboe,violin,viola,cello"
