-2.0.-1.-2
0.-1.-2
-1.-2.-1.1
-2.-1.1
-1.1.2.-7
1.2.-7
1.-1.-2.-2
-1.-2.-2
-2.-2.-1.-2
-2.-1.-2
-2.0.7
2.2.1
2.-2.-2
-2.-2.0
2.1.-1
1.-1.1.2
1.-1.-2
-2.-1.-2.-1
-1.-2.-1
0.2.-4.-1.1
2.-4.-1.1
-4.-1.1
-1.1.2.-3.0
1.2.-3.0
2.-3.0
0.-2.0
-2.-2.-1
-1.1.2
-1.1.2.-3
1.2.-3
2.0.0.5.2.-3
0.0.5.2.-3
0.5.2.-3
5.2.-3
2.-3.1
-2.-1.1.-1.-2
-1.1.-1.-2
0.0.5.0.-2
0.5.0.-2
5.0.-2
0.-2.-2.0.-1.-2.0
-2.-2.0.-1.-2.0
-2.0.-1.-2.0
0.-1.-2.0
-1.-2.0
-2.0.0
0.0.0.0.5.0.-2
0.0.0.5.0.-2
5.0.-2.-1.0.-2
0.-2.-1.0.-2
-2.-1.0.-2
-1.0.-2
0.-2.-2.0
0.0.5.0
0.5.0
0.-1.-2.0.-2.-1.0
-1.-2.0.-2.-1.0
-2.0.-2.-1.0
0.-2.-1.0
-2.-1.0.0
-1.0.0
0.0.5
0.-2.-2.0.-1.-2
0.-2.-1.0.-2.-1.0
-2.-1.0.-2.-1.0
-1.0.-2.-1.0
-2.-1.0.1
-1.0.1
2.0.-2.-1
0.-2.-1.1.-1.-2
-2.-1.0
-1.-2.-2.0
5.-2.-1
0.2.-4.-1
2.-4.-1
0.-7.5
1.0.0
-2.-1.1.-1
-1.1.-1
-2.-2.2
-4.-1.-2
0.-1.-2.0.-2
-1.-2.0.-2
-2.0.-2
-2.0.-2.-2
0.-2.-2
0.-2.-1
2.-2.-1
1.4.-5.5
4.-5.5
-7.5.0
2.-2.-1.-2.0
-2.-1.-2.0
2.-2.-1.-2
2.0.0.5
5.2.-3.-4.5
2.-3.-4.5
-3.-4.5
1.-1.1
3.-5.5.-3
-5.5.-3
4.-5.5.-4.4
-5.5.-4.4
5.-4.4.-5
-4.4.-5.5
4.-5.5.-4
5.-4.4
0.0.5.-2.-1
0.5.-2.-1.0
5.-2.-1.0
0.5.-2.-1
2.2.0
-4.4.-5
4.-5.4
-1.0.-14.2
0.-14.2
2.1.-3
1.-3.5
-3.5.-12
0.4.-8
4.-2.-2
-2.-2.4.-5
-2.4.-5
3.-1.-2
2.2.-4
3.-1.-4
-1.-4.5.-12
-4.5.-12
5.-5.4.-4
-5.4.-4
4.-4.4
4.-5.3
2.-2.4
-2.-1.3
3.0.-2
7.-4.-3
-4.-3.2
-3.2.1
6.-4.5
12.3.-3
3.-3.5
-3.5.-2
0.-2.2
5.4.-4.5
4.-4.5
-4.5.-7
5.-7.6
-7.6.-4
-2.2.-4.5.2
2.-4.5.2
-4.5.2
5.2.1.-3
3.-2.3
-2.3.-4
3.-4.3
0.0.-1
1.-1.-2.2
-1.-2.2
-5.5.-5
5.2.-2
2.-2.2.-12
-2.2.-12
2.-12.24.5.0
-12.24.5.0
24.5.0
-2.2.-3
4.-4.2
-4.2.-2
2.-2.2
3.-2.-1
-2.-1.-2.2
-1.-2.2.-4
-2.2.-4
2.-3.3
3.-9.4
4.0.1
3.2.2
-1.-4.5
5.-3.0
3.-8.3
7.-7.5
0.0.-4
-3.3.-3
-2.-2.4
7.-2.-2
-1.-2.-2.-1
-4.3.-7
3.-7.4
0.-12.4
-12.4.1
4.1.-1
3.-2.2
2...1
1.-3.2
2.-12.5
-2.2.-12.5
1.2.1
2.1.2
0.3.-2
20.4.-5
-12.24.5
5.-5.5.-1
-5.5.-1
5.-1.1.2
4.5.-9.-1
5.-9.-1
2.-3.5.-4
-3.5.-4
2.2.-2.-2.2
2.-2.-2.2.-3.1.-3.2.-4.2
-2.-2.2.-3.1.-3.2.-4.2
-2.2.-3.1.-3.2.-4.2
2.-3.1.-3.2.-4.2
-3.1.-3.2.-4.2
1.-3.2.-4.2
-3.2.-4.2
2.-4.2
-1.-2.2.-4.2
-2.2.-4.2
1.2.-2.-1
2.-2.-1.1
-2.-1.1.-3.2
-1.1.-3.2
2.-4.2.-4.2
-4.2.-4.2
-2.-2.2.-3.1.-3.2.-4
-2.2.-3.1.-3.2.-4
2.-3.1.-3.2.-4
-3.1.-3.2.-4
1.-3.2.-4
-3.2.-4
2.-4.5
2.-4.2.-4
-4.2.-4
2.-4.2.-3.1
-4.2.-3.1
3.5.-2
2.3.2.-10
3.2.-10
2.2.-2
2.-2.-2.2
-2.2.-4.2.-3.1.-3.2
2.-4.2.-3.1.-3.2
-4.2.-3.1.-3.2
2.-3.1.-3.2
-3.1.-3.2
2.3.2
3.2.-10.7.1
2.-10.7.1
-10.7.1
