0.0.2
0.2.2.1.2.2
2.2.1.2.2
2.1.2.2
1.2.2
2.2.-4
-3.-2.-2
2.1.-1
0.2.2.1
-3.2.1
2.1.-3
1.-1.1
-1.1.-3
1.-3.2
-3.2.-2
2.-2.2.-4
-2.2.-4
2.-4.2
2.-2.2.-3
-2.2.-3.1
2.-3.1
5.-1.-2.-2
-1.-2.-2.-1
-2.-2.-1.1
-2.-1.1
-1.1.2
1.2.-3
2.-3.-2
0.8.-1
9.-2.2
-2.-2.0
0.0.2.-2
0.2.-2
2.-2.-2.-1.-2
-2.-2.-1.-2
-2.-1.-2
0.0.0.-2
0.0.-2
-2.-2.5
2.-2.-2.-1.1
5.-2.2
2.-4.-1
-1.-2.0
-1.-2.-2
7.-7.0
-2...2
-5.1.2
-3.1.2
1.2.-7
-2.2.-7
1.-5.5.-1
-5.5.-1
5.-1.-2.-2.-2.-1
-1.-2.-2.-2.-1
-2.-2.-2.-1
2.2.1
2.1.2
-2.2.-3
-1.1.-7
-2.-2.-1
1.-1.-2.-2
-2.-2.-1.-2.-2
-2.-1.-2.-2
1.-1.-2
-2.-1.1.0
-1.1.0
2.2.1.-1
2.2.1.-1.-2
2.1.-1.-2
-1.-2.-2.-1.-2
12.-2.2
-3.-2.2.-4
2.-2.2
-1.-2.2.-2.-2
-2.2.-2.-2
2.-2.-2.-1
2.-2.7
-10.10.0
1.2.-2
2.-2.-1.-2
4.-4.-5.-3.3
-4.-5.-3.3
-5.-3.3
-3.3.5
5.-2.-2
-2.2.1.2
2.-2.2.-7
1.2.2.-2.2
2.2.-2.2
2.2.1.2.2.1.-1
2.1.2.2.1.-1
1.2.2.1.-1
2.2.1.-1.-2.2.-2.-2.2
2.1.-1.-2.2.-2.-2.2
1.-1.-2.2.-2.-2.2
-1.-2.2.-2.-2.2
-2.2.-2.-2.2
2.-2.-2.2
-2.-2.2
-2.2.-2
2.-2.-1.1.-1.-2
-2.-1.1.-1.-2
-1.1.-1.-2
1.-1.-2.2.-2.-2
2.-2.-2
-5.5.-1.1
5.-1.1
-10.10.0.0.0
10.0.0.0
0.0.0
-1.-2.2
1.2.2.-2
2.2.-2.-2
2.2.1.2.2.1
2.1.2.2.1
1.2.2.1
2.2.1.2
2.2.-2
4.-5.3
3...-2
2.22.0
0.7.-7
7.-7.2
2.-7.2
2.-17.0
-2.-17.0.2.22
-17.0.2.22
0.2.22
4.-4.5
4.-7.5
3.-5.7
-3.3.-3
3.-3.5
-2.-5.-3
-5.3.-3
3.-3.3.-7
-3.3.-7
0.2.-5
0.3.-2
0.4.-4.5
4.-4.2
-2.-5.2
3.0.5
0.5.-5
3.0.-1
3.-5.3
-5.3.-5
3.-5.4
-5.4.-4
2.0.3
3.-8.1
5.-3.3
-3.3.-3.3
3.-3.3
4.0.-2
0.-2.-5
-1.3.-2
5.-12.0
-3.5.-5
5.-5.3
4.-4.5.-5.4.-4
-4.5.-5.4.-4
5.-5.4.-4
-3.3.-2
3.-2.4
-2.4.-5
5.-5.5
-4.4.-4
4.-4.5.-5
-4.5.-5
-3.5.2
5.2.1
2.1.-5
3.-2.2
-2.2.0
2.-5.20
2.-2.0
5.-5.-3
-3.0.-2
0.-2.2
-2.2.-2.2
-7.2.-12
2.-12.5
-12.5.12
2.0.-2
3.2.-2
5.-3.5
4.2.1
2.-3.-4
-2.0.0.5
0.0.5
5...3
5.-7.4
12.-3.-4
2.-2.5.-5
-2.5.-5
2.3.-5.4
-8.1.2
2.2.5.-7.4
2.5.-7.4
2.-12.2
2.-7.3
4.-2.0
-2.9.-11
5.2.-12.2
-5.4.1
5.2.-12
5.4.-4
5.-5.4
2.-3.3
0.-2.0
2.-2.3
2.0.2
4.-4.4
2.0.0.-2
5.-2.5
5.-3.-4
0.2.0
-7.2.2
2.-2.4
-3.3.-1
2.3.-5
3.-1.3
-2.0.-2
-8.1.2.-7
1.0.0
0.0.-1
0.-1.0
-1.0.1.2
0.1.2
4.-4.4.-4
12.-2.-1
-3.3.0
0.0.-3
4.0.-1
-2.0.0
0.0.5.-1
0.5.-1
3.2.0.0
2.0.0
2.5.-5
-5.-3.-4.7.5
-3.-4.7.5
-4.7.5
4.-2.2
0.-1.0.-2
-1.0.-2
-5.-4.-3.7.5
-4.-3.7.5
-3.7.5
-5.3.-1
-2.-5.-3.-4.7.5
0.2.2
-5.-3.-4
5.12.-2.-1
-2.-1.0.1.2.-2.5.-5
-1.0.1.2.-2.5.-5
0.1.2.-2.5.-5
1.2.-2.5.-5
10.-10.10.-10.0
-10.10.-10.0
10.-10.0
1.2.-7.2.2.1.-5
2.-7.2.2.1.-5
-7.2.2.1.-5
2.2.1.-5
-1.0.1
7.5.14
0.2.2.1.2
5.-1.-2
1.-5.5
