-2...2
1.2.-3
2.-3.-2
2.-3.1
1.2.-7
-1.-2.-2
-2.2.-3
1.-3.2
-1.-2.-2.-2.-1
-2.-2.-2.-1
-2.-2.-1.-2
-2.-1.-2
2.2.1
2.2.-4
-1.1.-3
-1.1.-7
-2.-2.-1.1
-2.-1.1
-2.-2.-1
1.-1.-2
-2.-2.-1.-2.-2
-2.-1.-2.-2
2.1.-1
12.-2.2
-2.2.-4
-3.-2.2.-4
2.-2.-2.-1
0.4.3
4.3.-7
-4.5.4
3...4
3.5.-10.5
5.-10.5
-10.5.4
5.4.-11
7.-7.5.4
-7.5.4
3.5.-7
5.-7.2
7.-10.3
3.-5.4
4.-7.3.5
-7.3.5
3.5.-10
2.-7.4
3.-7.5
5.3.-10
-7.5.-7
5.-7.4
-7.4.3
-7.3.4
3.4.-7.5
4.-7.5
0.5.4.-7
5.4.-7.3
4.-7.3
7.3.-10
5.4.-7
3.2.-7
3.3.-5
3.4.-7
4.-4.5.-5.4.-4
-4.5.-5.4.-4
5.-5.4.-4
-5.4.-4
4.-4.5.-5
-4.5.-5
2.-4.2
2.-12.5
2.2.-4.5
2.-4.5
-3.-4.5
-8.1.2
1.2.2
2.2.5.-7.4.1
2.5.-7.4.1
5.-7.4.1
-7.4.1
2.-12.2
1.5.2.-12
5.2.-12.2
5.2.-12
-1.-2.-2.-2
-2.-2.-2
-3.-2.2
2.-2.-2
7.-7.5
0.5.4
4.-4.5.-5.4
4.-4.5
-4.5.-5.4
5.-5.4
2.2.5.-7.4
2.2.5.-7
2.2.5
2.5.-7.4
2.5.-7
1.5.2
