-2.-1.1...-2.-1.1
-1.1...-2.-1.1
1...-2.-1.1
-2.-1.1
0...-1.-2
2.-7.0...2
-7.0...2
0...2.1
0...2
0...-1.-2.2.0
-1.-2.2.0
-2.2.0
2.2.0
-2.-1.1...-2.-1
-1.1...-2.-1
1...-2.-1
-2.-1.1...-2
-1.1...-2
12...-2.-1
1...-2
0...1.2
2.1.-1
-1.-2.2
0...-2.-1
5...2
-7.-5.0
1.2.-7
2.1.0
2.2.1
2.2.1.1
2.1.1...2
1.1...2.2
1...2.2.1
1...2
0...-1
2.-7.0
0...-1.-2.2
12...-2
0...1
0...-2
2.1.1
1.1...2
1...2.2
