0.0.2
2.2.-4
-2.-2.-1
6.-4.5
5.-3.3
5.-7.4.3
-7.4.3.-7
4.3.-7
-7.5.4
5.-7.4
-7.4.3
4.3.-7.4
3.-7.4
4.-5.6.-5.7
-5.6.-5.7
6.-5.7
4.-5.6
4.-4.4
1.2.0.2.2
2.0.2.2
0.2.2
2.-12.5
2.2.-12
-2.-2.-1.-2
-2.-1.-2
-1.-2.-2
4.-5.6.-5
-5.6.-5
1.2.0.2
1.2.0
2.0.2
