-3.-2.-1
-2.-1.1
-1.1.-1
2.-2.2
2.0.2
2.1.-1
4.-2.-2.-1
-2.-2.-1.-2.-2.-1
-2.-1.-2.-2.-1
-1.-2.-2.-1
-2.-2.-1.-4
-2.-1.-4
-1.-2.0
-2.0.-2
0.-2.0
2.2.1
2.1.2
1.2.-2.-1
2.-2.-1.-4
-2.-1.-4.0
-1.-4.0
-2.-1.-2.-2
-1.-2.-2
9.-2.-2
-2.-2.-1
-2.-1.1.2
-1.1.2
-7.2.2.1
2.1.0
0.-1.-2
-1.-2.2
-2.2.1
1.5.-2
5.-2.-1
-2.-1.0.-2
-1.0.-2.0
0.1.0
1.0.-2.0
0.-2.0.-1.0
-2.0.-1.0
0.-1.0
0.0.0
-2.0.-1
-1.0.-2
-2.2.5
1.-3.2.1.0
-3.2.1.0
1.-3.2
9.-2.-2.2
-2.-2.2
-2.2.-3
0.0.5
-2.-2.-1.-2.-2
9.-9.9.-7
-9.9.-7
-7.9.-9
-9.7.-7
10.-1.-2
2.10.-1
-2.2.-9
-7.9.-2.-2.2.-7
9.-2.-2.2.-7
-2.-2.2.-7
-2.2.-7
2.-2.-1
0.0.2
1.4.-2
4.-2.-2
0.0.0.2.0.0.0
0.0.2.0.0.0
0.2.0.0.0
2.0.0.0
0.0.0.0.0.0.0
0.0.0.0.0.0
0.0.0.0.0
0.0.0.0
-2.-2.2.-7.4
-2.2.-7.4
2.-7.4
-2.-1.8.0
-1.8.0
0.-2.-1.-4.0.-2
-2.-1.-4.0.-2
-1.-4.0.-2
-4.0.-2
0.-2.-1
-2.-1.8
0.-2.-2
2.0.-2
5.-2.-1.-2.-2
-2...-1
-3.2.1
2.-2.-1.-2.-2
-2.-2.-2
-2.-2.-2.-1
-2.-2.-1.-2
-2.-1.-2
2.2.-2
2.-2.0
-1.1.2.-3.-2
1.2.-3.-2
2.-3.-2
-3.-2.0
-2.-1.1.2.-3
-1.1.2.-3
1.2.-3
2.-2.-3.1.-1.5.-2...-1
-2.-3.1.-1.5.-2...-1
-3.1.-1.5.-2...-1
1.-1.5.-2...-1
-1.5.-2...-1
5.-2...-1
2.-2.-2.-1
-2.-1.0
-2.-1.0.-2.-2
-1.0.-2.-2
-2.-2.0
-2.0.-1.-2
7.-2.2
-10.10.-12.12
10.-12.12
-2.-2.-5
-8.-2.2
-2.2.8
-7.-2.2
-5.-2.2
-12.10.-1.1
10.-1.1
-2.2.-12
10.-1.1.-10
-1.1.-10
-10.10.-1
9.-2.2.-9
2.1.-1.-2
1.-1.-2
2.2.1.2
2.-3.1
5.-5.4
-5.4.1
-2.-2.4
-4.5.-5.4
-7.0.-1
-2.5.-3
-2.-1.-4.21
-1.-4.21
0.5.-7
4...-2
-2.-5.2
0.2.-2
-2.-2.-1.1
2.-12.5
1.2.-7
14.-2.-1
1.-1.1.2
-1.1.2.2
1.2.2
2.2.-9
-1.3.-2
0...-4
2.-3.1.2
-3.1.2
7.-2.-1
2.-7.2
-7.2.2
0.0.-1
-2.2.2
2.2.-12
2.-12.29
7.-7.5
4.-4.4
4.-4.5.-5
-4.5.-5
5.-5.5
-5.-3.3
-3.3.-2
-1.1.2.-12
1.2.-12
2.-12.5.2
-12.5.2.2
5.2.2
0.-1.1
1.-8.1.4
-8.1.4
5.-3.3
5.2.-12
2.-2.-2
1.2.0
2.0.-7
-7.5.-1
5.-1.-2
-1.-2.2.-4.2
-2.2.-4.2
2.-4.2.2.-4
-4.2.2.-4
2.2.-4.17
2.-4.17
2.1.-3
2.2.-4.2
2.-4.2
-6.6.-6.6
6.-6.6
-5.4.-4
4.-4.4.-9
-4.4.-9
7....0
0.2.0
-9.7.-7.5
4.-4.5
5.-1.3
-2.-2.0.-1
-1.1.2.-2
1.2.-2
2.-2.-5
-2.0.-3
-1.-4.5
1...-2
2.2.2
2.2.-4.21
2.-4.21
2.-8.1
2.2.-4
1.-1.1
0.0.0.1
0.0.1.0
0.1.0.0
1.0.0.0
0.0.1
4.-4.21
-12.5.2
1.1...-2
0.-3.-4
-3.-4.0
5.-2.-2
-1.-2.2.-4
