1.-1.3.-2.-1
-1.3.-2.-1
3.-2.-1
2.2.1
-1.0.-2
-2.-1.1
-22.1.2.18
1.2.18
1.-1.3
2.5.-2.-2.-1
5.-2.-2.-1
-2.-2.-1
-2.-1.-2.-2.-1.1.2.2
-1.-2.-2.-1.1.2.2
-2.-2.-1.1.2.2
-2.-1.1.2.2
-1.1.2.2
1.2.2
0.0.-2
-1.-2.-2
-2.-1.-2
1.-1.3.-2
-1.3.-2
-22.1.2
2.5.-2.-2
2.5.-2
5.-2.-2
-2.-1.-2.-2.-1.1.2
-2.-1.-2.-2.-1.1
-2.-1.-2.-2.-1
-2.-1.-2.-2
-1.-2.-2.-1.1.2
-1.-2.-2.-1.1
-1.-2.-2.-1
-2.-2.-1.1.2
-2.-2.-1.1
-2.-1.1.2
-1.1.2
