0.0.2
2.2.1
2.1.2
2.2.-4
-3.-2.-2
2.1.-1
-3.2.1
2.1.-3
1.-1.1
-1.1.-3
1.-3.2
2.-2.2
-2.2.-4
2.-4.2
2.-2.2.-3
-2.2.-3.1
2.-3.1
5.-1.-2.-2
-1.-2.-2.-1
-2.-2.-1.1
-2.-1.1
1.2.-3
2.-3.-2
0.8.-1
9.-2.2
-2.-2.-1.-2
-2.-1.-2
-1.-2.2
0.0.2.-2
0.2.-2
2.-2.-2.-1.-2
2.-2.-2.-1
5.-2.2
-1.-2.-2
-2...2
1.2.-7
-2.2.-3
-1.-2.-2.-2.-1
-2.-2.-2.-1
-1.1.-7
-2.-2.-1
1.-1.-2
-2.-2.-1.-2.-2
-2.-1.-2.-2
12.-2.2
-3.-2.2.-4
2.17.5
1.18.3
3.5.-7
5.-7.4.3
-7.4.3
4.3.-7
3.-7.5
-7.5.4
1.5.7
7.5.4
17.4.3
3.3.-5
3.2.-7
2.-7.4
-7.4.-2
3.-5.7
4.-5.6
3.-7.2
7.-10.3
-10.3.5
5.-10.5.4
-10.5.4
-7.3.4
-1.13.4
3.-2.4
4.-4.4
4.8.-10
5.4.-4
7.-7.5.4
4.8.-1
3...4
4.-4.5.-5.4.-4
-4.5.-5.4.-4
5.-5.4.-4
-5.4.-4
4.-4.5.4
-4.5.4
4.-4.5
21.3.5
3.5.-10
5.4.-11
5.-7.2
5.4.-7.3
4.-7.3
-7.3.5
2.-12.5
2.3.2
5.3.-10
-4.12.5.4
12.5.4
5.-7.4
3.4.-7
4.-7.5
-8.1.2
1.2.2
2.2.5.-7.4
2.5.-7.4
5.4.-7
2.-12.2
20.5.4.-7
5.2.-12.2
5.2.-12
4.-7.3.4
5.-1.-2
2.-2.-2
-1.-2.-2.-2
-2.-2.-2
-3.-2.2
5.-10.5
7.-7.5
4.-4.5.-5.4
4.-4.5.-5
-4.5.-5.4
-4.5.-5
5.-5.4
-4.12.5
2.2.5.-7
2.2.5
2.5.-7
20.5.4
