2.-2.7
2.1.-1
-2.-1.-2
-1.-2.-2
-10.10.0
1.2.-2
2.-2.-1.-2
4.-4.-5.-3.3
-4.-5.-3.3
-5.-3.3
-3.3.5
5.-2.-2
-2.2.1.2
2.1.2
2.-2.2.-7
-2.2.-7
1.2.2.-2
2.2.-2
2.2.1.2.2.1.-1
2.1.2.2.1.-1
1.2.2.1.-1
2.2.1.-1.-2.2.-2.-2.2
2.1.-1.-2.2.-2.-2.2
1.-1.-2.2.-2.-2.2
-1.-2.2.-2.-2.2
-2.2.-2.-2.2
2.-2.-2.2
-2.-2.2
-2.2.-2
2.-2.-1.1.-1.-2
-2.-1.1.-1.-2
-1.1.-1.-2
1.-1.-2.2.-2.-2
-1.-2.2.-2.-2
-2.2.-2.-2
2.-2.-2
-2.-2.-1.-2
-2.-2.-1
-2.-1.1
1.-1.-2
-1.-2.-2.-1
-5.5.-1.1
5.-1.1
-10.10.0.0.0
10.0.0.0
0.0.0
-1.1.0
-1.-2.2
2.1.2.2
2.2.-2.-2
2.2.1.2.2.1
2.1.2.2.1
1.2.2.1
2.2.1
2.2.1.2
1.2.2
2.2.-2.-2.2
2.-2.2
3.5.-10.9
5.-10.9
5.-7.6
5.3.-10
3.-7.5
3.2.-7
2.-7.4
5.4.-2
-7.3.5
3.5.-8.5.3
5.-8.5.3
-8.5.3
5.-10.5
-10.5.3
4.3.-7
4.-7.3
4.5.-7
-8.1.2
4.3.-7.5
4.-7.3.5
-5.-3.-4.7.5.5
-3.-4.7.5.5
-4.7.5.5
7.5.5
0.-1.0.-2
-1.0.-2
0.-2.-5
-5.-4.-3.7.5
-4.-3.7.5
-3.7.5
0.-2.0
-2.-5.-3.-4.7.5
-5.-3.-4.7.5
-3.-4.7.5
-4.7.5
3.-10.3
5.4.-7.3
-5.-3.-4
3.2.-8.1.2.-2.5.2
2.-8.1.2.-2.5.2
-8.1.2.-2.5.2
1.2.-2.5.2
2.-2.5.2
-2.5.2
1.2.-7.2.2.1.-5
2.-7.2.2.1.-5
-7.2.2.1.-5
2.2.1.-5
2.1.-5
7.-10.5
0.-1.0
2.-2.-1
4.-4.-5.-3
4.-4.-5
-4.-5.-3
-2.2.1
2.2.1.2.2
2.2.1.-1.-2.2.-2.-2
2.2.1.-1.-2.2.-2
2.2.1.-1.-2.2
2.2.1.-1.-2
2.2.1.-1
2.1.-1.-2.2.-2.-2
2.1.-1.-2.2.-2
2.1.-1.-2.2
2.1.-1.-2
1.-1.-2.2.-2
1.-1.-2.2
-1.-2.2.-2
2.-2.-1.1.-1
2.-2.-1.1
-2.-1.1.-1
-1.1.-1
-5.5.-1
-10.10.0.0
10.0.0
3.5.-10
3.5.-8.5
3.5.-8
5.-8.5
-5.-3.-4.7
-3.-4.7
-5.-4.-3.7
-5.-4.-3
-4.-3.7
-2.-5.-3.-4.7
-2.-5.-3.-4
-2.-5.-3
5.4.-7
3.2.-8.1.2.-2.5
3.2.-8.1.2.-2
3.2.-8.1.2
3.2.-8.1
3.2.-8
2.-8.1.2.-2.5
2.-8.1.2.-2
2.-8.1.2
2.-8.1
-8.1.2.-2.5
-8.1.2.-2
1.2.-2.5
2.-2.5
1.2.-7.2.2.1
1.2.-7.2.2
1.2.-7.2
1.2.-7
2.-7.2.2.1
2.-7.2.2
2.-7.2
-7.2.2.1
-7.2.2
