work_id,instr_name,part_num
22,piano,1
23,piano,1
24,piano,1
25,piano,1
26,piano,1
27,piano,1
28,piccolo,1
28,flute,1
28,flute,2
28,oboe,1
28,oboe,2
28,clarinet,1
28,clarinet,2
28,bassoon,1
28,bassoon,2
28,horn,1
28,horn,2
28,trumpet,1
28,trumpet,2
28,trombone,1
28,trombone,2
28,trombone,3
28,timpani,1
28,bass drum,1
28,cymbals,1
28,triangle,1
28,strings,1
29,piccolo,1
29,flute,1
29,flute,2
29,oboe,1
29,oboe,2
29,clarinet,1
29,clarinet,2
29,bassoon,1
29,bassoon,2
29,horn,1
29,horn,2
29,trumpet,1
29,trumpet,2
29,trombone,1
29,trombone,2
29,trombone,3
29,timpani,1
29,bass drum,1
29,cymbals,1
29,triangle,1
29,strings,1
30,piccolo,1
30,flute,1
30,flute,2
30,oboe,1
30,oboe,2
30,clarinet,1
30,clarinet,2
30,bassoon,1
30,bassoon,2
30,horn,1
30,horn,2
30,trumpet,1
30,trumpet,2
30,trombone,1
30,trombone,2
30,trombone,3
30,timpani,1
30,bass drum,1
30,cymbals,1
30,triangle,1
30,strings,1
31,piccolo,1
31,flute,1
31,flute,2
31,oboe,1
31,oboe,2
31,clarinet,1
31,clarinet,2
31,bassoon,1
31,bassoon,2
31,horn,1
31,horn,2
31,trumpet,1
31,trumpet,2
31,trombone,1
31,trombone,2
31,trombone,3
31,timpani,1
31,bass drum,1
31,cymbals,1
31,triangle,1
31,strings,1
32,piccolo,1
32,flute,1
32,flute,2
32,oboe,1
32,oboe,2
32,clarinet,1
32,clarinet,2
32,bassoon,1
32,bassoon,2
32,horn,1
32,horn,2
32,trumpet,1
32,trumpet,2
32,trombone,1
32,trombone,2
32,trombone,3
32,timpani,1
32,bass drum,1
32,cymbals,1
32,triangle,1
32,strings,1
33,piccolo,1
33,flute,1
33,flute,2
33,oboe,1
33,oboe,2
33,clarinet,1
33,clarinet,2
33,bassoon,1
33,bassoon,2
33,horn,1
33,horn,2
33,trumpet,1
33,trumpet,2
